Date,Buying_price,Selling_price
2024-05-29 16:02:02,88300000,90300000
2024-05-30 00:00:02,88300000,90300000
2024-05-30 08:44:06,84500000,88000000
2024-05-30 11:16:02,86000000,88500000
2024-05-30 15:12:02,86300000,88800000
2024-05-31 00:00:02,86300000,88800000
2024-05-31 08:34:02,85800000,88800000
2024-05-31 09:08:02,85600000,88600000
2024-05-31 09:28:02,85400000,88400000
2024-05-31 09:38:01,84500000,88000000
2024-05-31 10:46:01,84200000,87700000
2024-05-31 11:24:02,84000000,87500000
2024-05-31 14:22:02,83000000,87000000
2024-06-01 00:00:02,83000000,87000000
2024-06-01 08:30:02,82000000,85000000
2024-06-01 10:40:01,81500000,84500000
2024-06-01 11:16:02,81000000,84000000
2024-06-01 14:06:01,81000000,83500000
2024-06-01 17:04:02,81000000,83000000
2024-06-02 00:00:03,81000000,83000000
2024-06-03 00:00:02,81000000,83000000
2024-06-03 08:30:01,80000000,82500000
2024-06-03 08:54:02,80000000,82000000
2024-06-03 09:02:01,79000000,81000000
2024-06-03 14:30:02,77980000,79980000
2024-06-04 00:00:03,77980000,79980000
2024-06-04 10:22:02,77480000,78980000
2024-06-05 00:00:03,77480000,78980000
2024-06-05 08:32:02,76980000,78980000
2024-06-05 10:04:02,76480000,77980000
2024-06-05 15:24:02,76780000,77980000
2024-06-06 00:00:02,76780000,77980000
2024-06-06 08:30:02,76480000,77980000
2024-06-06 08:56:04,75980000,77980000
2024-06-06 10:04:47,74980000,76980000
2024-06-07 00:00:02,74980000,76980000
2024-06-08 00:00:02,74980000,76980000
2024-06-09 00:00:02,74980000,76980000
2024-06-10 00:00:03,74980000,76980000
2024-06-11 00:00:02,74980000,76980000
2024-06-12 00:00:02,74980000,76980000
2024-06-13 00:00:02,74980000,76980000
2024-06-14 00:00:02,74980000,76980000
2024-06-15 00:00:03,74980000,76980000
2024-06-16 00:00:03,74980000,76980000
2024-06-17 00:00:02,74980000,76980000
2024-06-18 00:00:02,74980000,76980000
2024-06-19 00:00:15,74980000,76980000
2024-06-20 00:00:03,74980000,76980000
2024-06-21 00:00:03,74980000,76980000
2024-06-22 00:00:02,74980000,76980000
2024-06-23 00:00:02,74980000,76980000
2024-06-24 00:00:03,74980000,76980000
2024-06-25 00:00:02,74980000,76980000
2024-06-26 00:06:32,74980000,76980000
2024-06-27 00:00:02,74980000,76980000
2024-06-28 00:00:02,74980000,76980000
2024-06-29 00:00:02,74980000,76980000
2024-06-30 00:00:02,74980000,76980000
2024-07-01 00:00:03,74980000,76980000
